direct_condition,worldfork_condition,alpha,n,mean_brier,mean_log_score,mean_unresolved_mass
direct_llm,worldfork_branching_short,0.000000,12,0.224597,0.613304,0.000000
direct_llm,worldfork_branching_short,0.050000,12,0.220715,0.605191,0.000000
direct_llm,worldfork_branching_short,0.100000,12,0.217216,0.598466,0.000000
direct_llm,worldfork_branching_short,0.150000,12,0.214100,0.592997,0.000000
direct_llm,worldfork_branching_short,0.200000,12,0.211369,0.588682,0.000000
direct_llm,worldfork_branching_short,0.250000,12,0.209021,0.585447,0.000000
direct_llm,worldfork_branching_short,0.300000,12,0.207058,0.583236,0.000000
direct_llm,worldfork_branching_short,0.350000,12,0.205478,0.582012,0.000000
direct_llm,worldfork_branching_short,0.400000,12,0.204282,0.581751,0.000000
direct_llm,worldfork_branching_short,0.450000,12,0.203469,0.582446,0.000000
direct_llm,worldfork_branching_short,0.500000,12,0.203041,0.584103,0.000000
direct_llm,worldfork_branching_short,0.550000,12,0.202996,0.586742,0.000000
direct_llm,worldfork_branching_short,0.600000,12,0.203336,0.590402,0.000000
direct_llm,worldfork_branching_short,0.650000,12,0.204059,0.595143,0.000000
direct_llm,worldfork_branching_short,0.700000,12,0.205165,0.601049,0.000000
direct_llm,worldfork_branching_short,0.750000,12,0.206656,0.608242,0.000000
direct_llm,worldfork_branching_short,0.800000,12,0.208531,0.616892,0.000000
direct_llm,worldfork_branching_short,0.850000,12,0.210789,0.627244,0.000000
direct_llm,worldfork_branching_short,0.900000,12,0.213431,0.639658,0.000000
direct_llm,worldfork_branching_short,0.950000,12,0.216457,0.654690,0.000000
direct_llm,worldfork_branching_short,1.000000,12,0.219867,0.673259,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.000000,12,0.224597,0.613304,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.050000,12,0.219617,0.603166,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.100000,12,0.215092,0.594488,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.150000,12,0.211022,0.587136,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.200000,12,0.207406,0.581007,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.250000,12,0.204245,0.576020,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.300000,12,0.201539,0.572113,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.350000,12,0.199288,0.569238,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.400000,12,0.197491,0.567363,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.450000,12,0.196150,0.566466,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.500000,12,0.195263,0.566538,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.550000,12,0.194831,0.567580,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.600000,12,0.194853,0.569608,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.650000,12,0.195331,0.572646,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.700000,12,0.196263,0.576738,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.750000,12,0.197650,0.581942,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.800000,12,0.199492,0.588339,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.850000,12,0.201789,0.596038,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.900000,12,0.204541,0.605189,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,0.950000,12,0.207747,0.615993,0.000000
direct_llm_deepseek_v4_flash,worldfork_branching_short,1.000000,12,0.211408,0.628736,0.000000
structured_direct_llm,worldfork_branching_short,0.000000,12,0.224597,0.613304,0.000000
structured_direct_llm,worldfork_branching_short,0.050000,12,0.220575,0.605296,0.000000
structured_direct_llm,worldfork_branching_short,0.100000,12,0.216928,0.598602,0.000000
structured_direct_llm,worldfork_branching_short,0.150000,12,0.213656,0.593091,0.000000
structured_direct_llm,worldfork_branching_short,0.200000,12,0.210760,0.588660,0.000000
structured_direct_llm,worldfork_branching_short,0.250000,12,0.208240,0.585230,0.000000
structured_direct_llm,worldfork_branching_short,0.300000,12,0.206096,0.582737,0.000000
