direct_condition,worldfork_condition,selection,alpha,selected_alpha_mean,selected_alpha_min,selected_alpha_max,n,mean_brier,mean_log_score,mean_unresolved_mass,note
direct_llm,worldfork_branching_short,worldfork_only,0.000000,0.000000,0.000000,0.000000,12,0.224597,0.613304,0.000000,E3 branching path-mass aggregate without a direct-call prior
direct_llm,worldfork_branching_short,equal_blend,0.500000,0.500000,0.500000,0.500000,12,0.203041,0.584103,0.000000,50/50 direct-call prior and E3 branching path-mass aggregate
direct_llm,worldfork_branching_short,direct_only,1.000000,1.000000,1.000000,1.000000,12,0.219867,0.673259,0.000000,Direct-call forecast without WorldFork path-mass adjustment
direct_llm,worldfork_branching_short,best_brier_in_sample,0.550000,0.550000,0.550000,0.550000,12,0.202996,0.586742,0.000000,Alpha selected on the same scored cases by mean Brier
direct_llm,worldfork_branching_short,best_log_in_sample,0.400000,0.400000,0.400000,0.400000,12,0.204282,0.581751,0.000000,Alpha selected on the same scored cases by mean log score
direct_llm,worldfork_branching_short,leave_one_out_brier_tuned,0.533333,0.533333,0.200000,0.900000,12,0.254194,0.722285,0.000000,Each held-out case scored with alpha selected by mean Brier on the other cases
direct_llm_deepseek_v4_flash,worldfork_branching_short,worldfork_only,0.000000,0.000000,0.000000,0.000000,12,0.224597,0.613304,0.000000,E3 branching path-mass aggregate without a direct-call prior
direct_llm_deepseek_v4_flash,worldfork_branching_short,equal_blend,0.500000,0.500000,0.500000,0.500000,12,0.195263,0.566538,0.000000,50/50 direct-call prior and E3 branching path-mass aggregate
direct_llm_deepseek_v4_flash,worldfork_branching_short,direct_only,1.000000,1.000000,1.000000,1.000000,12,0.211408,0.628736,0.000000,Direct-call forecast without WorldFork path-mass adjustment
direct_llm_deepseek_v4_flash,worldfork_branching_short,best_brier_in_sample,0.550000,0.550000,0.550000,0.550000,12,0.194831,0.567580,0.000000,Alpha selected on the same scored cases by mean Brier
direct_llm_deepseek_v4_flash,worldfork_branching_short,best_log_in_sample,0.450000,0.450000,0.450000,0.450000,12,0.196150,0.566466,0.000000,Alpha selected on the same scored cases by mean log score
direct_llm_deepseek_v4_flash,worldfork_branching_short,leave_one_out_brier_tuned,0.579167,0.579167,0.350000,0.850000,12,0.239024,0.672242,0.000000,Each held-out case scored with alpha selected by mean Brier on the other cases
structured_direct_llm,worldfork_branching_short,worldfork_only,0.000000,0.000000,0.000000,0.000000,12,0.224597,0.613304,0.000000,E3 branching path-mass aggregate without a direct-call prior
structured_direct_llm,worldfork_branching_short,equal_blend,0.500000,0.500000,0.500000,0.500000,12,0.201275,0.581340,0.000000,50/50 direct-call prior and E3 branching path-mass aggregate
structured_direct_llm,worldfork_branching_short,direct_only,1.000000,1.000000,1.000000,1.000000,12,0.215517,0.637058,0.000000,Direct-call forecast without WorldFork path-mass adjustment
structured_direct_llm,worldfork_branching_short,best_brier_in_sample,0.550000,0.550000,0.550000,0.550000,12,0.201008,0.583021,0.000000,Alpha selected on the same scored cases by mean Brier
structured_direct_llm,worldfork_branching_short,best_log_in_sample,0.400000,0.400000,0.400000,0.400000,12,0.202934,0.580383,0.000000,Alpha selected on the same scored cases by mean log score
structured_direct_llm,worldfork_branching_short,leave_one_out_brier_tuned,0.558333,0.558333,0.250000,0.850000,12,0.244825,0.686252,0.000000,Each held-out case scored with alpha selected by mean Brier on the other cases
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,worldfork_only,0.000000,0.000000,0.000000,0.000000,12,0.224597,0.613304,0.000000,E3 branching path-mass aggregate without a direct-call prior
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,equal_blend,0.500000,0.500000,0.500000,0.500000,12,0.190560,0.553376,0.000000,50/50 direct-call prior and E3 branching path-mass aggregate
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,direct_only,1.000000,1.000000,1.000000,1.000000,12,0.194950,0.591768,0.000000,Direct-call forecast without WorldFork path-mass adjustment
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,best_brier_in_sample,0.700000,0.700000,0.700000,0.700000,12,0.187705,0.555867,0.000000,Alpha selected on the same scored cases by mean Brier
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,best_log_in_sample,0.550000,0.550000,0.550000,0.550000,12,0.189270,0.552664,0.000000,Alpha selected on the same scored cases by mean log score
structured_direct_llm_deepseek_v4_flash,worldfork_branching_short,leave_one_out_brier_tuned,0.687500,0.687500,0.400000,1.000000,12,0.232795,0.672304,0.000000,Each held-out case scored with alpha selected by mean Brier on the other cases
