case_id,condition,resolution,p_yes,brier,log_score,unresolved_mass
resolved_001,direct_llm,yes,0.080000,0.846400,2.525729,0.000000
resolved_001,structured_direct_llm,yes,0.150000,0.722500,1.897120,0.000000
resolved_002,direct_llm,yes,0.200000,0.640000,1.609438,0.000000
resolved_002,structured_direct_llm,yes,0.250000,0.562500,1.386294,0.000000
resolved_003,direct_llm,yes,0.420000,0.336400,0.867501,0.000000
resolved_003,structured_direct_llm,yes,0.430000,0.324900,0.843970,0.000000
resolved_004,direct_llm,no,0.320000,0.102400,0.385662,0.000000
resolved_004,structured_direct_llm,no,0.320000,0.102400,0.385662,0.000000
resolved_005,direct_llm,no,0.380000,0.144400,0.478036,0.000000
resolved_005,structured_direct_llm,no,0.370000,0.136900,0.462035,0.000000
resolved_006,direct_llm,yes,0.280000,0.518400,1.272966,0.000000
resolved_006,structured_direct_llm,yes,0.280000,0.518400,1.272966,0.000000
resolved_007,direct_llm,no,0.420000,0.176400,0.544727,0.000000
resolved_007,structured_direct_llm,no,0.440000,0.193600,0.579818,0.000000
resolved_008,direct_llm,no,0.480000,0.230400,0.653926,0.000000
resolved_008,structured_direct_llm,no,0.460000,0.211600,0.616186,0.000000
resolved_009,direct_llm,yes,0.580000,0.176400,0.544727,0.000000
resolved_009,structured_direct_llm,yes,0.570000,0.184900,0.562119,0.000000
resolved_010,direct_llm,no,0.600000,0.360000,0.916291,0.000000
resolved_010,structured_direct_llm,no,0.610000,0.372100,0.941609,0.000000
resolved_011,direct_llm,yes,0.630000,0.136900,0.462035,0.000000
resolved_011,structured_direct_llm,yes,0.620000,0.144400,0.478036,0.000000
resolved_012,direct_llm,yes,0.570000,0.184900,0.562119,0.000000
resolved_012,structured_direct_llm,yes,0.570000,0.184900,0.562119,0.000000
resolved_013,direct_llm,no,0.390000,0.152100,0.494296,0.000000
resolved_013,structured_direct_llm,no,0.390000,0.152100,0.494296,0.000000
resolved_014,direct_llm,no,0.570000,0.324900,0.843970,0.000000
resolved_014,structured_direct_llm,no,0.570000,0.324900,0.843970,0.000000
resolved_015,direct_llm,yes,0.430000,0.324900,0.843970,0.000000
resolved_015,structured_direct_llm,yes,0.440000,0.313600,0.820981,0.000000
resolved_016,direct_llm,yes,0.780000,0.048400,0.248461,0.000000
resolved_016,structured_direct_llm,yes,0.780000,0.048400,0.248461,0.000000
resolved_017,direct_llm,yes,0.850000,0.022500,0.162519,0.000000
resolved_017,structured_direct_llm,yes,0.820000,0.032400,0.198451,0.000000
resolved_018,direct_llm,yes,0.320000,0.462400,1.139434,0.000000
resolved_018,structured_direct_llm,yes,0.280000,0.518400,1.272966,0.000000
resolved_019,direct_llm,yes,0.640000,0.129600,0.446287,0.000000
resolved_019,structured_direct_llm,yes,0.630000,0.136900,0.462035,0.000000
resolved_020,direct_llm,no,0.260000,0.067600,0.301105,0.000000
resolved_020,structured_direct_llm,no,0.220000,0.048400,0.248461,0.000000
resolved_021,direct_llm,no,0.400000,0.160000,0.510826,0.000000
resolved_021,structured_direct_llm,no,0.420000,0.176400,0.544727,0.000000
resolved_022,direct_llm,no,0.440000,0.193600,0.579818,0.000000
resolved_022,structured_direct_llm,no,0.430000,0.184900,0.562119,0.000000
resolved_023,direct_llm,no,0.180000,0.032400,0.198451,0.000000
resolved_023,structured_direct_llm,no,0.260000,0.067600,0.301105,0.000000
resolved_024,direct_llm,no,0.220000,0.048400,0.248461,0.000000
resolved_024,structured_direct_llm,no,0.240000,0.057600,0.274437,0.000000
