case_id,group,benchmark_role,status,big_bang_id,job_id,elapsed_seconds,actor_count,trait_count,graph_edge_count,has_sociology_baseline,has_emotion_baseline,llm_log_count,artifact_dir
civic_001,existing_72,civic_policy,succeeded,6146928f-8e7a-4e9d-8dc8-deb64c7a6b27,559953b4-29fd-4e89-8650-bf29b6e0c0ae,171.36,11,11,38,True,True,1,raw/E1_init_jobs/civic_001
civic_002,existing_72,civic_policy,succeeded,acd9e8a2-d11a-4b28-b4af-b6556fe34c0d,973eae61-59f5-4cd3-bc9e-d53865424469,200.73,7,7,37,True,True,1,raw/E1_init_jobs/civic_002
civic_003,existing_72,civic_policy,succeeded,0ae4797f-8124-40b7-a4a8-2cdc84bf1f76,7c0d60e0-dcd1-4c2e-a09b-e1b7a21ad85b,191.09,9,9,46,True,True,1,raw/E1_init_jobs/civic_003
civic_004,existing_72,civic_policy,succeeded,40eeb612-5bcf-4939-b879-ed6a07026d06,fd6af264-05c3-4350-b488-176e39dc82f7,186.77,8,8,41,True,True,1,raw/E1_init_jobs/civic_004
civic_005,existing_72,civic_policy,succeeded,0f4cc160-77b8-4881-b6ce-5f4d80a80cc5,b5795716-a34e-4686-9c7d-caf62fb6f013,172.28,8,8,35,True,True,1,raw/E1_init_jobs/civic_005
civic_006,existing_72,civic_policy,succeeded,45a01604-ab94-412a-940a-8e33eed7a3e8,40aba99e-34ad-4ff9-b980-adb40ea61a6c,165.18,9,9,37,True,True,1,raw/E1_init_jobs/civic_006
labor_001,existing_72,labor_economic_dependency,succeeded,4fcee5ba-9822-44fb-84a9-722bd5da5062,cb0fe294-cd19-4483-97d4-91138d922162,181.58,9,9,43,True,True,1,raw/E1_init_jobs/labor_001
labor_002,existing_72,labor_economic_dependency,succeeded,9fd56e99-eeb9-4fa5-90e0-4ee73333395c,e15e4563-3b6c-41d4-8cb5-4bfb431aeced,170.61,7,7,42,True,True,1,raw/E1_init_jobs/labor_002
labor_003,existing_72,labor_economic_dependency,succeeded,1d75e9e1-d36d-47a2-94f7-cb2630bcc66c,6022984f-5e26-4b2e-a423-814d5147370b,334.99,7,7,37,True,True,1,raw/E1_init_jobs/labor_003
labor_004,existing_72,labor_economic_dependency,succeeded,b3690fc6-3663-46b0-9ca4-83634353bbea,a4b5fc56-5aac-4e28-8edf-874ef68ee5ac,341.13,7,7,32,True,True,1,raw/E1_init_jobs/labor_004
