case_id,condition,resolution,p_yes,brier,log_score,unresolved_mass
resolved_001,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_009,worldfork_no_branch_short,yes,0.500000,0.250000,0.693147,1.000000
resolved_007,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_004,worldfork_no_branch_short,no,0.666667,0.444444,1.098612,1.000000
resolved_002,worldfork_no_branch_short,yes,0.250000,0.562500,1.386294,1.000000
resolved_005,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_006,worldfork_no_branch_short,yes,0.333333,0.444444,1.098612,0.666667
resolved_003,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_010,worldfork_no_branch_short,no,0.500000,0.250000,0.693147,1.000000
resolved_015,worldfork_no_branch_short,yes,0.250000,0.562500,1.386294,1.000000
resolved_016,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_014,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_017,worldfork_no_branch_short,yes,0.333333,0.444444,1.098612,1.000000
resolved_011,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_012,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_013,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_022,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,0.500000
resolved_018,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,0.000000
resolved_021,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_019,worldfork_no_branch_short,yes,0.000000,1.000000,4.605170,1.000000
resolved_024,worldfork_no_branch_short,no,0.500000,0.250000,0.693147,1.000000
resolved_023,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_020,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
resolved_008,worldfork_no_branch_short,no,0.000000,0.000000,0.010050,1.000000
